ham	Yes there were many sweets			
ham	I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.			
spam	U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901			
ham	Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?			
ham	Sir send to group mail check it.			
ham	I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..			
ham	\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\""			
ham	You dont know you jabo me abi.			
spam	Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?			
ham	Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..			
ham	Are you being good, baby? :)			
ham	NEFT Transaction with reference number &lt;#&gt; for Rs. &lt;DECIMAL&gt; has been credited to the beneficiary account on &lt;#&gt; at &lt;TIME&gt; : &lt;#&gt;			
ham	Mostly sports type..lyk footbl,crckt..			
ham	Ma head dey swell oh. Thanks for making my day			
ham	U should make a fb list			
ham	Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students	this wont even start........ Datz confidence.."		
ham	Sary just need Tim in the bollox &it hurt him a lot so he tol me!			
ham	Happy New Year Princess!			
ham	I'll text carlos and let you know, hang on			
ham	Don't worry, * is easy once have ingredients!			
ham	I love u 2 my little pocy bell I am sorry but I love u			
ham	Ok omw now, you at castor?			
ham	Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?			
spam	Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2			
ham	What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..			
ham	7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\"... good morning dear"			
ham	Tonight? Yeah, I'd be down for that			
ham	What should i eat fo lunch senor			
ham	He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for!			
ham	No break time one... How... I come out n get my stuff fr Ì_?			
spam	Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service			
ham	I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz			
ham	Do you still have the grinder?			
spam	No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info			
ham	Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical			
spam	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call			
ham	K.i did't see you.:)k:)where are you now?			
ham	So i'm doing a list of buyers.			
ham	No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second			
ham	Mm not entirely sure i understood that text but hey. Ho. Which weekend?			
ham	They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.			
ham	Don know..he is watching film in computer..			
ham	No b4 Thursday			
ham	Oh, then your phone phoned me but it disconnected			
ham	Id onluy matters when getting on from offcampus			
spam	This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only			
ham	Excellent, I'll see what riley's plans are			
ham	I will see in half an hour			
spam	You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm			
ham	Ew are you one of them?			
ham	Also hi wesley how've you been			
ham	Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!			
spam	Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'			
spam	Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q			
ham	Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)			
ham	Hm good morning, headache anyone? :-)			
ham	Yeah no probs - last night is obviously catching up with you... Speak soon			
spam	FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free			
ham	I might go 2 sch. Yar at e salon now v boring.			
ham	&lt;#&gt; mins but i had to stop somewhere first.			
